1|P.O. Box 934, 3179 Magna. St.|Pike Creek|DE|91420|Micronesia|19.68618, -175.1761
2|Ap #443-9650 Ligula Rd.|Gasp�|Quebec|64-474|Mongolia|75.85905, 69.1834
3|897-9161 Et Rd.|Cap-Saint-Ignace|QC|313161|Lithuania|-71.13557, 163.31797
4|Ap #448-5533 Egestas St.|Beverley|YK|63408|Guatemala|71.14171, 91.89789
5|497-8476 Eu St.|Ulloa (Barrial)|H|89610|Guadeloupe|-86.89826, 64.31097
6|Ap #203-7273 Aenean Street|Tirrases|SJ|82-790|Myanmar|22.84839, 91.49654
7|331-5818 Ornare Av.|San Felipe|SJ|855245|Oman|-36.44399, 31.50632
8|P.O. Box 212, 2751 Phasellus St.|Athus|Luxemburg|8108|Faroe Islands|-42.5642, 25.10013
9|P.O. Box 662, 3014 Vivamus St.|Burlington|Vermont|59-010|Jamaica|-0.03585, -161.18417
10|6038 Ut, Av.|Bydgoszcz|KP|8551|Guernsey|46.98414, 74.0981
11|257-9191 Tellus Avenue|Boignee|Namen|T4T 9B4|Turkey|-12.22479, 158.61542
12|Ap #612-4877 Arcu Road|Mobile|Alabama|18370|Djibouti|53.44838, 110.79192
13|234-2109 Ut St.|Clarksville|TN|900700|Tuvalu|58.54486, -174.51589
14|Ap #369-6574 Nec Avenue|Beaumaris|AG|11540|Luxembourg|5.73301, 134.7917
15|P.O. Box 449, 5535 Purus, Rd.|Quesada|Alajuela|52-821|Korea, North|-21.27577, 115.50807
16|656-204 Integer Rd.|Rivi�re|NA|BS5 3FE|Tokelau|-46.30471, -44.89593
17|P.O. Box 940, 8860 Vivamus Rd.|Legnica|DS|3482XG|Canada|68.88932, -64.33776
18|866-5127 Mus. Rd.|Çeşme|İzmir|SZ5D 7QX|Egypt|-7.80959, 41.47477
19|156-1716 At Street|Thorold|Ontario|77644|Korea, North|-36.52272, 156.44042
20|5216 At Av.|Cholet|Pays de la Loire|24316-056|Saint Vincent and The Grenadines|47.92921, 83.19628
21|6035 Pretium Avenue|Apeldoorn|Gl|M09 5AW|Norway|46.73045, 5.41491
22|P.O. Box 398, 2162 Vivamus Street|Berlin|BE|27014|Ireland|4.52209, 39.89813
23|1878 Libero St.|Annapolis|Maryland|5788|Djibouti|53.90789, -57.60182
24|P.O. Box 906, 2815 Nunc St.|San Rafael|A|50560|Mauritius|-43.76116, -170.23085
25|362-2797 Mi Rd.|San Francisco|H|41601|Congo (Brazzaville)|-42.18737, -15.37571
26|P.O. Box 423, 1416 Massa. Road|Galway|C|438291|Mozambique|4.77195, 114.96175
27|P.O. Box 537, 8800 Dolor. Rd.|Chetwynd|BC|69513|Virgin Islands, British|34.28111, -44.26329
28|1734 Ipsum. Road|Sapele|Delta|20003|Mayotte|72.68153, -148.97159
29|P.O. Box 772, 9964 Per St.|Lower Hutt|NI|42142|Cape Verde|17.4532, -117.07283
30|6243 Penatibus Av.|L'Hospitalet de Llobregat|CA|4529|Namibia|-85.37247, 117.27059
31|374-7073 Aliquam St.|Onitsha|AN|H9Y 2P2|Hong Kong|-37.00664, -20.46279
32|959-4301 Ornare Ave|Mornimont|NA|19267|Sint Maarten|11.43879, 64.14026
33|3842 Accumsan Rd.|Asnières-sur-Seine|Île-de-France|80908|Liberia|-5.13865, 169.64953
